另据中国地震台网正式测定，15日16时14分在台湾宜兰县海域发生4.6级地震，震源深度为28公里，震中位于北纬24.31度，东经122.16度。	另 据 中 国 地 震 台 网 正 式 测 定 ， 1 5 日 1 6 时 1 4 分 在 台 湾 宜 兰 县 海 域 发 生 4 . 6 级 地 震 ， 震 源 深 度 为 2 8 公 里 ， 震 中 位 于 北 纬 2 4 . 3 1 度 ， 东 经 1 2 2 . 1 6 度 。	B E B E B E B E B E B E S B E S B E S B E B E B E B M E B E B E B M E S B E S B E B E S B E B E S B E B E B E B M M M E S S B E B M M M M E S S	另据 中国 地震 台网 正式 测定 ， 15 日 16 时 14 分在 台湾 宜兰县 海域 发生 4.6 级 地震 ， 震源 深度 为 28 公里 ， 震中 位于 北纬 24.31 度 ， 东经 122.16 度 。
现在，互联网平台要求经营者提供详细流水，并明确告知平台所有经营行为已接入税务系统，需要将所有交易的流水全部提交至税务系统。	现 在 ， 互 联 网 平 台 要 求 经 营 者 提 供 详 细 流 水 ， 并 明 确 告 知 平 台 所 有 经 营 行 为 已 接 入 税 务 系 统 ， 需 要 将 所 有 交 易 的 流 水 全 部 提 交 至 税 务 系 统 。	B E S B M E B E B E B M E B E B E B E S S B E B E B E B E B E B E S B E B M M E S B E S B E B E S B E B E B E S B M M E S	现在 ， 互联网 平台 要求 经营者 提供 详细 流水 ， 并 明确 告知 平台 所有 经营 行为 已 接入 税务系统 ， 需要 将 所有 交易 的 流水 全部 提交 至 税务系统 。
中期定位则是以“收入分配调节”为核心，强化筹资与公平功能；	中 期 定 位 则 是 以 “ 收 入 分 配 调 节 ” 为 核 心 ， 强 化 筹 资 与 公 平 功 能 ；	B E B E S S S S B E B E B E S S B E S B E B E S B E B E S	中期 定位 则 是 以 “ 收入 分配 调节 ” 为 核心 ， 强化 筹资 与 公平 功能 ；
流量竞争的喧嚣，不应淹没技术攻关的紧迫。	流 量 竞 争 的 喧 嚣 ， 不 应 淹 没 技 术 攻 关 的 紧 迫 。	B E B E S B E S B E B E B E B E S B E S	流量 竞争 的 喧嚣 ， 不应 淹没 技术 攻关 的 紧迫 。
“罗平警方”“茶城森警”等团队被评为全国走好网上群众路线优秀团队。	“ 罗 平 警 方 ” “ 茶 城 森 警 ” 等 团 队 被 评 为 全 国 走 好 网 上 群 众 路 线 优 秀 团 队 。	S B E B E S S B E B E S S B E S B E B E B E B E B M M E B E B E S	“ 罗平 警方 ” “ 茶城 森警 ” 等 团队 被 评为 全国 走好 网上 群众路线 优秀 团队 。
十几亿人口的超大规模市场，意味着丰富多元的需求；	十 几 亿 人 口 的 超 大 规 模 市 场 ， 意 味 着 丰 富 多 元 的 需 求 ；	B E S B E S B M M E B E S B M E B E B E S B E S	十几 亿 人口 的 超大规模 市场 ， 意味着 丰富 多元 的 需求 ；
据伊朗法尔斯通讯社报道，伊朗总统佩泽希齐扬21日与印度总理莫迪通话。	据 伊 朗 法 尔 斯 通 讯 社 报 道 ， 伊 朗 总 统 佩 泽 希 齐 扬 2 1 日 与 印 度 总 理 莫 迪 通 话 。	S B E B M E B M E B E S B E B E B M M M E B E S S B E B E B E B E S	据 伊朗 法尔斯 通讯社 报道 ， 伊朗 总统 佩泽希齐扬 21 日 与 印度 总理 莫迪 通话 。
中国工程院院长钟志华、副院长卢春房、吴曼青、邓秀新在武汉出席中国工程院院士大会，武汉大学、华中科技大学、武汉理工大学主要负责人参会。	中 国 工 程 院 院 长 钟 志 华 、 副 院 长 卢 春 房 、 吴 曼 青 、 邓 秀 新 在 武 汉 出 席 中 国 工 程 院 院 士 大 会 ， 武 汉 大 学 、 华 中 科 技 大 学 、 武 汉 理 工 大 学 主 要 负 责 人 参 会 。	B M M M E B E B M E S B M E B M E S S B E S B M E S B E B E B M M M E B E B E S B M M E S B M M M M E S B M M M M E B E B M E B E S	中国工程院 院长 钟志华 、 副院长 卢春房 、 吴 曼青 、 邓秀新 在 武汉 出席 中国工程院 院士 大会 ， 武汉大学 、 华中科技大学 、 武汉理工大学 主要 负责人 参会 。
中方坚决反对侵犯他国主权安全，反对滥用武力、丛林法则。	中 方 坚 决 反 对 侵 犯 他 国 主 权 安 全 ， 反 对 滥 用 武 力 、 丛 林 法 则 。	B E B E B E B E B E B E B E S B E B E B E S B E B E S	中方 坚决 反对 侵犯 他国 主权 安全 ， 反对 滥用 武力 、 丛林 法则 。
丘智贤直言，赖清德此前就曾抛出所谓“日据时期代表现代化文明”等谬论，其为谋求政治私利而歪曲历史的行径，已经到了无所不用其极的地步。	丘 智 贤 直 言 ， 赖 清 德 此 前 就 曾 抛 出 所 谓 “ 日 据 时 期 代 表 现 代 化 文 明 ” 等 谬 论 ， 其 为 谋 求 政 治 私 利 而 歪 曲 历 史 的 行 径 ， 已 经 到 了 无 所 不 用 其 极 的 地 步 。	B M E B E S B M E B E S S B E B E S S S B E B E B M E B E S S B E S S S B E B E B E S B E B E S B E S B E S B E S B E S S S B E S	丘智贤 直言 ， 赖清德 此前 就 曾 抛出 所谓 “ 日 据 时期 代表 现代化 文明 ” 等 谬论 ， 其 为 谋求 政治 私利 而 歪曲 历史 的 行径 ， 已经 到 了无 所 不用 其 极 的 地步 。
对高收入人群的征管已经在逐渐加强。	对 高 收 入 人 群 的 征 管 已 经 在 逐 渐 加 强 。	S B M E B E S B E B E S B E B E S	对 高收入 人群 的 征管 已经 在 逐渐 加强 。
厦门、福州、莆田等多地民众在网络社交平台上称，感受到震感。	厦 门 、 福 州 、 莆 田 等 多 地 民 众 在 网 络 社 交 平 台 上 称 ， 感 受 到 震 感 。	B E S B E S B E S S S B E S B E B E B E S S S B M E B E S	厦门 、 福州 、 莆田 等 多 地 民众 在 网络 社交 平台 上 称 ， 感受到 震感 。
2024年，城乡居民人均可支配收入之比为2.34，比2020年下降0.22。	2 0 2 4 年 ， 城 乡 居 民 人 均 可 支 配 收 入 之 比 为 2 . 3 4 ， 比 2 0 2 0 年 下 降 0 . 2 2 。	B M M E S S B M M E B E B M E B E B E S B M M E S S B M M E S B E B M M E S	2024 年 ， 城乡居民 人均 可支配 收入 之比 为 2.34 ， 比 2020 年 下降 0.22 。
强调居民增收，算的不仅是当前的“民生账”，更是长远的“发展账”。	强 调 居 民 增 收 ， 算 的 不 仅 是 当 前 的 “ 民 生 账 ” ， 更 是 长 远 的 “ 发 展 账 ” 。	B E B E B E S S S B E S B E S S B E S S S B E B E S S B E S S S	强调 居民 增收 ， 算 的 不仅 是 当前 的 “ 民生 账 ” ， 更是 长远 的 “ 发展 账 ” 。
“清朗网络空间也是营商环境”。	“ 清 朗 网 络 空 间 也 是 营 商 环 境 ” 。	S B E B M M E S S B E B E S S	“ 清朗 网络空间 也 是 营商 环境 ” 。
伊朗伊斯兰革命卫队当地时间15日早间发表声明称，其在“真实承诺-4”第52轮军事行动中对以色列和位于中东地区的3个美军基地实施了猛烈打击。	伊 朗 伊 斯 兰 革 命 卫 队 当 地 时 间 1 5 日 早 间 发 表 声 明 称 ， 其 在 “ 真 实 承 诺 - 4 ” 第 5 2 轮 军 事 行 动 中 对 以 色 列 和 位 于 中 东 地 区 的 3 个 美 军 基 地 实 施 了 猛 烈 打 击 。	B E B M E B E B E B E B E B E S B E B M M E S S S S S B E B E S S S S B E S B M M E S S B M E S B E B E B E S S S B M M E B E S B E B E S	伊朗 伊斯兰 革命 卫队 当地 时间 15 日 早间 发表声明 称 ， 其 在 “ 真实 承诺 - 4 ” 第 52 轮 军事行动 中 对 以色列 和 位于 中东 地区 的 3 个 美军基地 实施 了 猛烈 打击 。
人工智能要实现高水平发展，同样需要打通从基础研究到场景落地的完整链条。	人 工 智 能 要 实 现 高 水 平 发 展 ， 同 样 需 要 打 通 从 基 础 研 究 到 场 景 落 地 的 完 整 链 条 。	B M M E S B E B M E B E S B E B E B E S B E B E S B E B E S B E B E S	人工智能 要 实现 高水平 发展 ， 同样 需要 打通 从 基础 研究 到 场景 落地 的 完整 链条 。
所谓“双高”是指高收入、高净值人群。	所 谓 “ 双 高 ” 是 指 高 收 入 、 高 净 值 人 群 。	B E S B E S S S B M E S B M E B E S	所谓 “ 双高 ” 是 指 高收入 、 高净值 人群 。
从收入规模看，个人所得税从2018年的13872亿元增长至2025年的16187亿元，在税收收入中占比从8.86%上升至9.18%。	从 收 入 规 模 看 ， 个 人 所 得 税 从 2 0 1 8 年 的 1 3 8 7 2 亿 元 增 长 至 2 0 2 5 年 的 1 6 1 8 7 亿 元 ， 在 税 收 收 入 中 占 比 从 8 . 8 6 % 上 升 至 9 . 1 8 % 。	S B E B E S S B M M M E S B M M E S S B M M M E S S B E S B M M E S S B M M M E S S S S B M M E S B E S B M M E S B E S B M M E S S	从 收入 规模 看 ， 个人所得税 从 2018 年 的 13872 亿 元 增长 至 2025 年 的 16187 亿 元 ， 在 税收收入 中 占比 从 8.86 % 上升 至 9.18 % 。
中国股市和债市规模均位居全球第二，市场深度、韧性和流动性持续提升。	中 国 股 市 和 债 市 规 模 均 位 居 全 球 第 二 ， 市 场 深 度 、 韧 性 和 流 动 性 持 续 提 升 。	B E B E S B E B E S B E B E B E S B E B E S B E S B M E B E B E S	中国 股市 和 债市 规模 均 位居 全球 第二 ， 市场 深度 、 韧性 和 流动性 持续 提升 。
今天的AI红包大战，同样不能仅以流量论成败。	今 天 的 A I 红 包 大 战 ， 同 样 不 能 仅 以 流 量 论 成 败 。	B E S B E B E B E S B E B E S S B E S B E S	今天 的 AI 红包 大战 ， 同样 不能 仅 以 流量 论 成败 。
据通报，共有20名成员已被正式逮捕并关押。	据 通 报 ， 共 有 2 0 名 成 员 已 被 正 式 逮 捕 并 关 押 。	S B E S B E B E S B E S S B E B E S B E S	据 通报 ， 共有 20 名 成员 已 被 正式 逮捕 并 关押 。
这些改革举措都将有助于提高中国个人所得税的平均有效税率和收入再分配效应。	这 些 改 革 举 措 都 将 有 助 于 提 高 中 国 个 人 所 得 税 的 平 均 有 效 税 率 和 收 入 再 分 配 效 应 。	B E B E B E S S B M E B E B E B M M M E S B E B E B E S B E S B E B E S	这些 改革 举措 都 将 有助于 提高 中国 个人所得税 的 平均 有效 税率 和 收入 再 分配 效应 。
“十四五”时期财政民生投入接近100万亿元，占财政支出比重超过70%，推动建成全世界规模最大的教育体系、社会保障体系、医疗卫生体系。	“ 十 四 五 ” 时 期 财 政 民 生 投 入 接 近 1 0 0 万 亿 元 ， 占 财 政 支 出 比 重 超 过 7 0 % ， 推 动 建 成 全 世 界 规 模 最 大 的 教 育 体 系 、 社 会 保 障 体 系 、 医 疗 卫 生 体 系 。	S B M E S B E B E B E B E B E B M E B E S S S B M M E B E B E B E S S B E B E B M E B E B E S B E B E S B M M E B E S B M M E B E S	“ 十四五 ” 时期 财政 民生 投入 接近 100 万亿 元 ， 占 财政支出 比重 超过 70 % ， 推动 建成 全世界 规模 最大 的 教育 体系 、 社会保障 体系 、 医疗卫生 体系 。
实现全体人民共同富裕，是中国共产党矢志不渝的价值追求，是中国特色社会主义的本质要求，也是14亿多中国人民迈向现代化的必然选择。	实 现 全 体 人 民 共 同 富 裕 ， 是 中 国 共 产 党 矢 志 不 渝 的 价 值 追 求 ， 是 中 国 特 色 社 会 主 义 的 本 质 要 求 ， 也 是 1 4 亿 多 中 国 人 民 迈 向 现 代 化 的 必 然 选 择 。	B E B E B E B M M E S S B M M M E B M M E S B E B E S S B E B E B M M E S B E B E S S S B E S S B E B E B E B M E S B M M E S	实现 全体 人民 共同富裕 ， 是 中国共产党 矢志不渝 的 价值 追求 ， 是 中国 特色 社会主义 的 本质 要求 ， 也 是 14 亿 多 中国 人民 迈向 现代化 的 必然选择 。
令人振奋的是，从我国人工智能专利有效量居全球前列，到国产算力持续取得新突破，自主创新正不断夯实中国人工智能的发展底座。	令 人 振 奋 的 是 ， 从 我 国 人 工 智 能 专 利 有 效 量 居 全 球 前 列 ， 到 国 产 算 力 持 续 取 得 新 突 破 ， 自 主 创 新 正 不 断 夯 实 中 国 人 工 智 能 的 发 展 底 座 。	B M M E S S S S B E B M M E B E B E S S B E B E S S B E S S B E B E S B E S B M M E S B E B E B E B M M E S B E B E S	令人振奋 的 是 ， 从 我国 人工智能 专利 有效 量 居 全球 前列 ， 到 国产 算 力 持续 取得 新 突破 ， 自主创新 正 不断 夯实 中国 人工智能 的 发展 底座 。
实现共同富裕，是一个长远目标，不会一蹴而就，要脚踏实地、久久为功。	实 现 共 同 富 裕 ， 是 一 个 长 远 目 标 ， 不 会 一 蹴 而 就 ， 要 脚 踏 实 地 、 久 久 为 功 。	B E B M M E S S B E B M M E S B E B M M E S S B M M E S B E S S S	实现 共同富裕 ， 是 一个 长远目标 ， 不会 一蹴而就 ， 要 脚踏实地 、 久久 为 功 。
针对赖清德的媚日言论，中国国民党副主席萧旭岑批评称，赖清德完全美化日本殖民，扭曲历史，践踏台湾人的尊严，对得起罗福星、莫那·鲁道等抗日先烈吗？	针 对 赖 清 德 的 媚 日 言 论 ， 中 国 国 民 党 副 主 席 萧 旭 岑 批 评 称 ， 赖 清 德 完 全 美 化 日 本 殖 民 ， 扭 曲 历 史 ， 践 踏 台 湾 人 的 尊 严 ， 对 得 起 罗 福 星 、 莫 那 · 鲁 道 等 抗 日 先 烈 吗 ？	B E B M E S S S B E S B M M M E B M E B M E B E S S B M E B E B E B E B E S B E B E S B E B M E S B E S B M E B M E S B E S B E S B E B E S S	针对 赖清德 的 媚 日 言论 ， 中国国民党 副主席 萧旭岑 批评 称 ， 赖清德 完全 美化 日本 殖民 ， 扭曲 历史 ， 践踏 台湾人 的 尊严 ， 对得起 罗福星 、 莫那 · 鲁道 等 抗日 先烈 吗 ？
翻开今年的“国家账本”，一系列安排释放出鲜明信号：中央财政安排基本养老金转移支付1.25万亿元；	翻 开 今 年 的 “ 国 家 账 本 ” ， 一 系 列 安 排 释 放 出 鲜 明 信 号 ： 中 央 财 政 安 排 基 本 养 老 金 转 移 支 付 1 . 2 5 万 亿 元 ；	B E B E S S B E B E S S B M E B E B M E B E B E S B M M E B E B E B M E B E B E B M M E B E S S	翻开 今年 的 “ 国家 账本 ” ， 一系列 安排 释放出 鲜明 信号 ： 中央财政 安排 基本 养老金 转移 支付 1.25 万亿 元 ；
该组织表示，他们“没有收到任何关于核研究中心受损的迹象”，并补充说，没有检测到异常的辐射水平。	该 组 织 表 示 ， 他 们 “ 没 有 收 到 任 何 关 于 核 研 究 中 心 受 损 的 迹 象 ” ， 并 补 充 说 ， 没 有 检 测 到 异 常 的 辐 射 水 平 。	S B E B E S B E S B E B E B E B E S B E B E B E S B E S S S B E S S B E B E S B E S B E B E S	该 组织 表示 ， 他们 “ 没有 收到 任何 关于 核 研究 中心 受损 的 迹象 ” ， 并 补充 说 ， 没有 检测 到 异常 的 辐射 水平 。
网上群众工作，既要解民忧，也要护平安。	网 上 群 众 工 作 ， 既 要 解 民 忧 ， 也 要 护 平 安 。	B E B E B E S B E S B E S S S S B E S	网上 群众 工作 ， 既要 解 民忧 ， 也 要 护 平安 。
一个中国原则是国际关系基本准则和国际社会普遍共识，是中国同183个建交国发展关系的政治基础。	一 个 中 国 原 则 是 国 际 关 系 基 本 准 则 和 国 际 社 会 普 遍 共 识 ， 是 中 国 同 1 8 3 个 建 交 国 发 展 关 系 的 政 治 基 础 。	B E B E B E S B M M E B M M E S B E B E B E B E S S B E S B M E S B M E B E B E S B E B E S	一个 中国 原则 是 国际关系 基本准则 和 国际 社会 普遍 共识 ， 是 中国 同 183 个 建交国 发展 关系 的 政治 基础 。
据悉，伤者均为外国游客。	据 悉 ， 伤 者 均 为 外 国 游 客 。	B E S B E S S B M M E S	据悉 ， 伤者 均 为 外国游客 。
当年移动支付领跑全球，不仅靠红包大战的“入口争夺”，更靠通信网络建设、智能手机普及、金融监管创新等系统性支撑。	当 年 移 动 支 付 领 跑 全 球 ， 不 仅 靠 红 包 大 战 的 “ 入 口 争 夺 ” ， 更 靠 通 信 网 络 建 设 、 智 能 手 机 普 及 、 金 融 监 管 创 新 等 系 统 性 支 撑 。	B E B E B E B E B E S B E S B E B E S S B E B E S S S S B E B E B E S B M M E B E S B M M E B E S B M E B E S	当年 移动 支付 领跑 全球 ， 不仅 靠 红包 大战 的 “ 入口 争夺 ” ， 更 靠 通信 网络 建设 、 智能手机 普及 、 金融监管 创新 等 系统性 支撑 。
真正把“清朗”二字刻进营商网络环境的骨子里，企业才能敢闯敢干、放心发展。	真 正 把 “ 清 朗 ” 二 字 刻 进 营 商 网 络 环 境 的 骨 子 里 ， 企 业 才 能 敢 闯 敢 干 、 放 心 发 展 。	B E S S B E S S S S S B E B E B E S B M E S B E B E S S B E S B E B E S	真正 把 “ 清朗 ” 二 字 刻 进 营商 网络 环境 的 骨子里 ， 企业 才能 敢 闯 敢干 、 放心 发展 。
“提低”则是对部分人群和部分收入予以免税，使其征税后收入水平不受税收影响；	“ 提 低 ” 则 是 对 部 分 人 群 和 部 分 收 入 予 以 免 税 ， 使 其 征 税 后 收 入 水 平 不 受 税 收 影 响 ；	S S S S S S S B E B E S B E B E B E B E S S S S B E B M M E B E B E B E S	“ 提 低 ” 则 是 对 部分 人群 和 部分 收入 予以 免税 ， 使 其 征 税后 收入水平 不受 税收 影响 ；
2021年，中央财经委员会第十次会议强调，要加强对高收入的规范和调节，依法保护合法收入，合理调节过高收入，鼓励高收入人群和企业更多回报社会；	2 0 2 1 年 ， 中 央 财 经 委 员 会 第 十 次 会 议 强 调 ， 要 加 强 对 高 收 入 的 规 范 和 调 节 ， 依 法 保 护 合 法 收 入 ， 合 理 调 节 过 高 收 入 ， 鼓 励 高 收 入 人 群 和 企 业 更 多 回 报 社 会 ；	B M M E S S B M M E B M E S S S B E B E S S B E S B M E S B E S B E S B E B E B M M E S B E B E S B M E S B E B M E B E S B E B E B E B E S	2021 年 ， 中央财经 委员会 第 十 次 会议 强调 ， 要 加强 对 高收入 的 规范 和 调节 ， 依法 保护 合法收入 ， 合理 调节 过 高收入 ， 鼓励 高收入 人群 和 企业 更多 回报 社会 ；
他说，正告民进党当局，任何形式的“台独”分裂活动和政治操弄，都改变不了台湾属于中国的事实和国际社会坚持一中原则的格局，注定徒劳无功。	他 说 ， 正 告 民 进 党 当 局 ， 任 何 形 式 的 “ 台 独 ” 分 裂 活 动 和 政 治 操 弄 ， 都 改 变 不 了 台 湾 属 于 中 国 的 事 实 和 国 际 社 会 坚 持 一 中 原 则 的 格 局 ， 注 定 徒 劳 无 功 。	S S S B E B M E B E S B E B E S S B E S B E B E S B E B E S S B E B E B E B E B E S B E S B E B E B E B E B E S B E S B E B M M E S	他 说 ， 正告 民进党 当局 ， 任何 形式 的 “ 台独 ” 分裂 活动 和 政治 操弄 ， 都 改变 不了 台湾 属于 中国 的 事实 和 国际 社会 坚持 一中 原则 的 格局 ， 注定 徒劳无功 。
在加强征管、扩大税基、提升调节能力的过程中，财政收入规模也将自然扩大。	在 加 强 征 管 、 扩 大 税 基 、 提 升 调 节 能 力 的 过 程 中 ， 财 政 收 入 规 模 也 将 自 然 扩 大 。	S B E B E S B E B E S B E B E B E S B E S S B M M E B E S S B E B E S	在 加强 征管 、 扩大 税基 、 提升 调节 能力 的 过程 中 ， 财政收入 规模 也 将 自然 扩大 。
除了刻意曲解、撕裂以求政治利益，恐怕也找不到其他合理解释了。	除 了 刻 意 曲 解 、 撕 裂 以 求 政 治 利 益 ， 恐 怕 也 找 不 到 其 他 合 理 解 释 了 。	B E B E B E S B E B E B E B E S B E S S B E B E B E B E S S	除了 刻意 曲解 、 撕裂 以求 政治 利益 ， 恐怕 也 找 不到 其他 合理 解释 了 。
中央财办分管日常工作的副主任、中央农办主任韩文秀指出，当前百年变局加速演进，世界变乱交织。	中 央 财 办 分 管 日 常 工 作 的 副 主 任 、 中 央 农 办 主 任 韩 文 秀 指 出 ， 当 前 百 年 变 局 加 速 演 进 ， 世 界 变 乱 交 织 。	B E B E B E B E B E S B M E S B M M E B E B M E B E S B E B E B E B E B E S B E B E B E S	中央 财办 分管 日常 工作 的 副主任 、 中央农办 主任 韩文秀 指出 ， 当前 百年 变局 加速 演进 ， 世界 变乱 交织 。
最高人民法院院长张军、最高人民检察院检察长应勇在北京会见香港律政司司长林定国、澳门法务局局长刘德学，研讨区际司法协助。	最 高 人 民 法 院 院 长 张 军 、 最 高 人 民 检 察 院 检 察 长 应 勇 在 北 京 会 见 香 港 律 政 司 司 长 林 定 国 、 澳 门 法 务 局 局 长 刘 德 学 ， 研 讨 区 际 司 法 协 助 。	B M M M M E B E B E S B M M M M M E B M E B E S B E B E B M M M E B E B M E S B E B M E B E B M E S B E B E B E B E S	最高人民法院 院长 张军 、 最高人民检察院 检察长 应勇 在 北京 会见 香港律政司 司长 林定国 、 澳门 法务局 局长 刘德学 ， 研讨 区际 司法 协助 。
此前，国际能源署成员国一致同意释放4亿桶战略石油储备，这是有史以来最大规模的紧急库存释放。	此 前 ， 国 际 能 源 署 成 员 国 一 致 同 意 释 放 4 亿 桶 战 略 石 油 储 备 ， 这 是 有 史 以 来 最 大 规 模 的 紧 急 库 存 释 放 。	B E S B E B E S B M E B M M E B E S S S B E B E B E S S S B M M E B E B E S B E B E B E S	此前 ， 国际 能源 署 成员国 一致同意 释放 4 亿 桶 战略 石油 储备 ， 这 是 有史以来 最大 规模 的 紧急 库存 释放 。
韩文秀指出，近几年，中国的对外投资规模已经明显超过了利用外商直接投资的规模，我们将继续扩大对外投资，高质量共建“一带一路”，扎实推进人民币国际化。	韩 文 秀 指 出 ， 近 几 年 ， 中 国 的 对 外 投 资 规 模 已 经 明 显 超 过 了 利 用 外 商 直 接 投 资 的 规 模 ， 我 们 将 继 续 扩 大 对 外 投 资 ， 高 质 量 共 建 “ 一 带 一 路 ” ， 扎 实 推 进 人 民 币 国 际 化 。	B M E B E S B M E S B E S B E B M M E B E B E B E S B E B E B E B E S B E S B E S B E B E B E B E S B M E B E S B E B E S S B E B E B M E B M E S	韩文秀 指出 ， 近几年 ， 中国 的 对外 投资规模 已经 明显 超过 了 利用 外商 直接 投资 的 规模 ， 我们 将 继续 扩大 对外 投资 ， 高质量 共建 “ 一带 一路 ” ， 扎实 推进 人民币 国际化 。
中国无意通过汇率贬值获取贸易竞争优势。	中 国 无 意 通 过 汇 率 贬 值 获 取 贸 易 竞 争 优 势 。	B E B E B E B E B E B E B E B E B E S	中国 无意 通过 汇率 贬值 获取 贸易 竞争 优势 。
探索完善资本利得税收调节机制，加强对高收入者税收监管。	探 索 完 善 资 本 利 得 税 收 调 节 机 制 ， 加 强 对 高 收 入 者 税 收 监 管 。	B E B E B E B M E S B E B E S B E S B M M E B E B E S	探索 完善 资本 利得税 收 调节 机制 ， 加强 对 高收入者 税收 监管 。
但那场大战真正的价值，不在于谁分走了多少用户，而在于由此催生了一套移动支付基础设施，共享单车、外卖、网约车等新业态借此蓬勃兴起。	但 那 场 大 战 真 正 的 价 值 ， 不 在 于 谁 分 走 了 多 少 用 户 ， 而 在 于 由 此 催 生 了 一 套 移 动 支 付 基 础 设 施 ， 共 享 单 车 、 外 卖 、 网 约 车 等 新 业 态 借 此 蓬 勃 兴 起 。	S B E B E B E S B E S S S B E B E S B E B E S S B E B E B E S S S B E B E B M M E S B E B E S B E S S S S S S B E B E B E B E S	但 那场 大战 真正 的 价值 ， 不 在 于谁 分走 了 多少 用户 ， 而 在于 由此 催生 了 一 套 移动 支付 基础设施 ， 共享 单车 、 外卖 、 网 约 车 等 新 业态 借此 蓬勃 兴起 。
当前，美国国内农产品价格开始上涨，芝加哥商品交易所的大豆、玉米和小麦期货价格均已涨至近期高位。	当 前 ， 美 国 国 内 农 产 品 价 格 开 始 上 涨 ， 芝 加 哥 商 品 交 易 所 的 大 豆 、 玉 米 和 小 麦 期 货 价 格 均 已 涨 至 近 期 高 位 。	B E S B E B E B M E B E B E B E S B M M M M M M E S B E S B E S B E B M M E S S S S B E B E S	当前 ， 美国 国内 农产品 价格 开始 上涨 ， 芝加哥商品交易所 的 大豆 、 玉米 和 小麦 期货价格 均 已 涨 至 近期 高位 。
截至目前，火灾共造成10人受伤，其中3人重伤。	截 至 目 前 ， 火 灾 共 造 成 1 0 人 受 伤 ， 其 中 3 人 重 伤 。	B E B E S B E S B E B E S B E S B E S S B E S	截至 目前 ， 火灾 共 造成 10 人 受伤 ， 其中 3 人 重伤 。
有了好平台，更要用起来。	有 了 好 平 台 ， 更 要 用 起 来 。	S S S B E S S B E B E S	有 了 好 平台 ， 更 要用 起来 。
从发展规律看，提升居民收入是跨越“中等收入陷阱”、迈向高收入国家的必经之路。	从 发 展 规 律 看 ， 提 升 居 民 收 入 是 跨 越 “ 中 等 收 入 陷 阱 ” 、 迈 向 高 收 入 国 家 的 必 经 之 路 。	S B E B E S S B E B M M E S B E S B E B E B E S S B E B M E B E S B M M E S	从 发展 规律 看 ， 提升 居民收入 是 跨越 “ 中等 收入 陷阱 ” 、 迈向 高收入 国家 的 必经之路 。
叶永青称，个税的改革路径应服从于“更好发挥再分配调节作用”这一战略目标。	叶 永 青 称 ， 个 税 的 改 革 路 径 应 服 从 于 “ 更 好 发 挥 再 分 配 调 节 作 用 ” 这 一 战 略 目 标 。	B M E S S B E S B E B E S B E S S B E B E S B E B M M E S S B E S B E S	叶永青 称 ， 个税 的 改革 路径 应 服从 于 “ 更好 发挥 再 分配 调节作用 ” 这 一战 略 目标 。
教育、社会保障和就业、卫生健康、住房保障4项支出合计超过12.4万亿元……财政支出的重心正持续向“投资于人”、保障民生倾斜，迈向共同富裕的步伐更加坚实。	教 育 、 社 会 保 障 和 就 业 、 卫 生 健 康 、 住 房 保 障 4 项 支 出 合 计 超 过 1 2 . 4 万 亿 元 … … 财 政 支 出 的 重 心 正 持 续 向 “ 投 资 于 人 ” 、 保 障 民 生 倾 斜 ， 迈 向 共 同 富 裕 的 步 伐 更 加 坚 实 。	B E S B M M E S B E S B E B E S B E B E S S B E B E B E B M M E B E S B E B M M E S B E S B E S S B E B E S S B E B E B E S B E B M M E S B E B E B E S	教育 、 社会保障 和 就业 、 卫生 健康 、 住房 保障 4 项 支出 合计 超过 12.4 万亿 元 …… 财政支出 的 重心 正 持续 向 “ 投资 于人 ” 、 保障 民生 倾斜 ， 迈向 共同富裕 的 步伐 更加 坚实 。
中共中央政治局常委、国务院总理李强，中共中央政治局常委、中央外事工作委员会办公室主任王毅参加会谈。	中 共 中 央 政 治 局 常 委 、 国 务 院 总 理 李 强 ， 中 共 中 央 政 治 局 常 委 、 中 央 外 事 工 作 委 员 会 办 公 室 主 任 王 毅 参 加 会 谈 。	B M M M M M E B E S B M E B E B E S B M M M M M E B E S B E B E B M M M M M M E B E B E B E B E S	中共中央政治局 常委 、 国务院 总理 李强 ， 中共中央政治局 常委 、 中央 外事 工作委员会办公室 主任 王毅 参加 会谈 。
一方面，不断扩大专项附加扣除，有针对性地减税，提供民生保障；	一 方 面 ， 不 断 扩 大 专 项 附 加 扣 除 ， 有 针 对 性 地 减 税 ， 提 供 民 生 保 障 ；	B M E S B M M E B E B E B E S S B M E S B E S B E B E B E S	一方面 ， 不断扩大 专项 附加 扣除 ， 有 针对性 地 减税 ， 提供 民生 保障 ；
留言板上看民生，政绩观里见初心——群众的获得感，便是最好的答案。	留 言 板 上 看 民 生 ， 政 绩 观 里 见 初 心 — — 群 众 的 获 得 感 ， 便 是 最 好 的 答 案 。	B M E S S B E S B M E S S B E B E B E S B E S S B E B E S B E S	留言板 上 看 民生 ， 政绩观 里 见 初心 —— 群众 的 获得 感 ， 便是 最好 的 答案 。
